surface	gdt788_prior_mask	ar_or_rn_tail_union	ar_lineage	excluded_from_semantic_neighbours	excluded_from_learned_whole_donors	component_export_credit
karar	1	1	0	1	1	0
karchees	0	0	1	1	1	0
kchaiin	0	1	0	1	1	0
kchain	1	1	0	1	1	0
kchal	1	0	0	1	1	0
kchan	0	1	0	1	1	0
kchar	1	1	0	1	1	0
kcharg	1	0	0	1	1	0
kchdaiin	0	1	0	1	1	0
kchdal	1	0	0	1	1	0
kchdar	1	1	0	1	1	0
kchedar	1	1	0	1	1	0
kcheeor	0	1	0	1	1	0
kcheeytain	0	1	0	1	1	0
kchekain	0	1	0	1	1	0
kcheoakar	1	1	0	1	1	0
kcheodaiin	0	1	0	1	1	0
kcheodar	1	1	0	1	1	0
kcheor	1	1	0	1	1	0
kchoan	0	1	0	1	1	0
kchoar	1	1	0	1	1	0
kchochaiin	1	1	0	1	1	0
kchochor	0	1	0	1	1	0
kchodan	0	1	0	1	1	0
kcholchdar	1	1	0	1	1	0
kchor	0	1	0	1	1	0
kchoror	0	1	0	1	1	0
keaiin	0	1	0	1	1	0
keam	1	0	0	1	1	0
kedaiiin	0	1	0	1	1	0
kedair	0	1	0	1	1	0
kedal	1	0	0	1	1	0
kedar	1	1	0	1	1	0
keeaiin	0	1	0	1	1	0
keeal	1	0	0	1	1	0
keear	1	1	0	1	1	0
keedain	0	1	0	1	1	0
keedal	1	0	0	1	1	0
keedar	1	1	0	1	1	0
keedor	0	1	0	1	1	0
keeedal	1	0	0	1	1	0
keeoal	1	0	0	1	1	0
keeodaiin	0	1	0	1	1	0
keeodal	1	0	0	1	1	0
keeodar	1	1	0	1	1	0
keeor	0	1	0	1	1	0
keeredal	1	0	0	1	1	0
keesy	1	0	0	1	1	0
keeyfar	1	1	0	1	1	0
keeyrain	0	1	0	1	1	0
keodaiin	0	1	0	1	1	0
keodar	1	1	0	1	1	0
keolor	0	1	0	1	1	0
keor	0	1	0	1	1	0
keoraiiin	0	1	0	1	1	0
keorain	0	1	0	1	1	0
keshar	1	1	0	1	1	0
kesoar	1	1	0	1	1	0
koaiin	0	1	0	1	1	0
koair	0	1	0	1	1	0
kochor	1	1	0	1	1	0
kodaiin	0	1	0	1	1	0
koeeorain	0	1	0	1	1	0
kokydaiin	0	1	0	1	1	0
koldal	1	0	0	1	1	0
koldy	1	0	0	1	1	0
kolkar	1	1	0	1	1	0
kor	1	1	1	1	1	0
koraiin	0	1	0	1	1	0
korain	0	1	0	1	1	0
kshaiin	0	1	0	1	1	0
kshar	1	1	0	1	1	0
kshartar	1	1	0	1	1	0
kshdain	0	1	0	1	1	0
kshdor	0	1	0	1	1	0
kshor	0	1	0	1	1	0
kshoraiin	0	1	0	1	1	0
ksor	0	1	0	1	1	0
kydain	0	1	0	1	1	0
laiiin	0	1	0	1	1	0
laiin	0	1	0	1	1	0
lain	1	1	0	1	1	0
lainal	1	0	0	1	1	0
lair	0	1	0	1	1	0
lal	1	0	0	1	1	0
laldan	0	1	0	1	1	0
lar	1	1	0	1	1	0
lchain	0	1	0	1	1	0
lchal	1	0	0	1	1	0
lchar	1	1	0	1	1	0
lcharar	1	1	0	1	1	0
lchdaiin	0	1	0	1	1	0
lchdain	0	1	0	1	1	0
lchdal	1	0	0	1	1	0
lcheal	1	0	0	1	1	0
lchear	1	1	0	1	1	0
lched	1	0	0	1	1	0
lchedal	1	0	0	1	1	0
lchedar	1	1	0	1	1	0
lchedor	0	1	0	1	1	0
lcheedy	1	0	0	1	1	0
lcheeor	0	1	0	1	1	0
lcheor	1	1	0	1	1	0
lchl	1	0	0	1	1	0
lcho	1	0	0	1	1	0
lcholkaiin	0	1	0	1	1	0
lchor	1	1	0	1	1	0
ldaiiin	0	1	0	1	1	0
ldaiin	0	1	0	1	1	0
ldain	0	1	0	1	1	0
ldalor	0	1	0	1	1	0
ldar	1	1	0	1	1	0
ldol	1	0	0	1	1	0
leedaiin	0	1	0	1	1	0
leeesain	0	1	0	1	1	0
lfar	1	1	0	1	1	0
lfchal	1	0	0	1	1	0
lfcheal	1	0	0	1	1	0
lkaiiin	0	1	0	1	1	0
lkaiin	1	1	0	1	1	0
lkaiir	0	1	0	1	1	0
lkain	1	1	0	1	1	0
lkair	0	1	0	1	1	0
lkal	1	0	0	1	1	0
lkan	0	1	0	1	1	0
lkar	1	1	1	1	1	0
lkarshar	1	1	0	1	1	0
lkchdal	1	0	0	1	1	0
lkchor	0	1	0	1	1	0
lkeain	0	1	0	1	1	0
lkeal	1	0	0	1	1	0
lkechor	0	1	0	1	1	0
lkedain	0	1	0	1	1	0
lkedal	1	0	0	1	1	0
lkedar	1	1	0	1	1	0
lkeeal	1	0	0	1	1	0
lkeedain	0	1	0	1	1	0
lkeedar	1	1	0	1	1	0
lkeeoar	1	1	0	1	1	0
lkeeor	0	1	0	1	1	0
lkeey	1	0	0	1	1	0
lkeodaiin	0	1	0	1	1	0
lkeodain	0	1	0	1	1	0
lkeor	0	1	0	1	1	0
lkey	1	0	0	1	1	0
lkldain	0	1	0	1	1	0
lklor	0	1	0	1	1	0
lkol	1	0	0	1	1	0
lkor	1	1	1	1	1	0
lkshedy	1	0	0	1	1	0
lky	1	0	0	1	1	0
llaiir	0	1	0	1	1	0
lldar	1	1	1	1	1	0
llor	0	1	0	1	1	0
llsan	0	1	0	1	1	0
lo	1	0	0	1	1	0
loaiin	0	1	0	1	1	0
loar	1	1	0	1	1	0
lodaiin	0	1	0	1	1	0
lodar	1	1	0	1	1	0
loiiin	1	0	0	1	1	0
lokaiin	0	1	0	1	1	0
lokain	0	1	0	1	1	0
lokar	1	1	0	1	1	0
lokedy	1	0	0	1	1	0
lolain	0	1	0	1	1	0
lolchor	0	1	0	1	1	0
loldaiin	0	1	0	1	1	0
loldy	1	0	0	1	1	0
lolkaiin	1	1	0	1	1	0
lolkair	0	1	0	1	1	0
lols	1	0	0	1	1	0
loly	1	0	0	1	1	0
lor	0	1	0	1	1	0
loraiin	0	1	0	1	1	0
loraiir	0	1	0	1	1	0
lorain	1	1	0	1	1	0
loral	1	0	0	1	1	0
loror	0	1	0	1	1	0
los	1	0	0	1	1	0
losaiin	0	1	0	1	1	0
losair	0	1	1	1	1	0
lotal	1	0	0	1	1	0
lotar	1	1	0	1	1	0
lotedaiin	0	1	0	1	1	0
lotor	0	1	0	1	1	0
lpaiin	0	1	0	1	1	0
lpair	0	1	0	1	1	0
lpar	1	1	0	1	1	0
lpchdain	0	1	0	1	1	0
lr	1	0	0	1	1	0
lror	0	1	0	1	1	0
lsair	0	1	0	1	1	0
lsan	0	1	0	1	1	0
lshaiir	0	1	0	1	1	0
lshar	1	1	0	1	1	0
lshckhy	1	0	0	1	1	0
lshdaiin	0	1	0	1	1	0
lsheedain	0	1	0	1	1	0
lsheedy	1	0	0	1	1	0
lsheetal	1	0	0	1	1	0
lsheey	1	0	0	1	1	0
lshekain	0	1	0	1	1	0
lshodair	0	1	0	1	1	0
lshodykeodal	1	0	0	1	1	0
lshor	0	1	0	1	1	0
ltaiin	0	1	0	1	1	0
ltain	1	1	0	1	1	0
ltal	1	0	0	1	1	0
ltalor	0	1	0	1	1	0
ltar	1	1	0	1	1	0
lteeal	1	0	0	1	1	0
lxor	0	1	0	1	1	0
