locus	selected_path_id	source	segmentation	rule
f83r.46	f83r.46|P01	olsaiin	olsaiin	source-symbol stream
f83r.47	f83r.47|P01	otchdy qokchdy shedal	otchdy | qokchdy | shedal	source-symbol stream
f83r.48	f83r.48|P01	dal cheol lol chdal aiin	dal | cheol | lol | chdal | aiin	source-symbol stream
f83r.49	f83r.49|P01	sol daiiin chedy	sol | daiiin | chedy	source-symbol stream
f83r.5	f83r.5|P01	deey qotaiin checkhy qoty cheg shedy qokeey rchedy qoteedy lo	deey | qotaiin | checkhy | qoty | cheg | shedy | qokeey | rchedy | qoteedy | lo	source-symbol stream
f83r.50	f83r.50|P01	sasoldal	sasoldal	source-symbol stream
f83r.51	f83r.51|P01	darolsy	darolsy	source-symbol stream
f83r.52	f83r.52|P01	solkeey qekey raly ol	solkeey | qekey | raly | ol	source-symbol stream
f83r.53	f83r.53|P01	solchkal cheol qotar ol	solchkal | cheol | qotar | ol	source-symbol stream
f83r.54	f83r.54|P01	daiin ol dain chey ldalor	daiin | ol | dain | chey | ldalor	source-symbol stream
f83r.55	f83r.55|P01	sol rtain cthal	sol | rtain | cthal	source-symbol stream
f83r.6	f83r.6|P01	schedy chedchy qokal olchedy qokaiin chedy qokeedy lchedy qoky	schedy | chedchy | qokal | olchedy | qokaiin | chedy | qokeedy | lchedy | qoky	source-symbol stream
f83r.7	f83r.7|P01	solshed lsheedy qeeedy qoky o qol rsheedy qokedy qoteedy qoteedy	solshed | lsheedy | qeeedy | qoky | o | qol | rsheedy | qokedy | qoteedy | qoteedy	source-symbol stream
f83r.8	f83r.8|P01	pchedal otedy shecthedchy qoky chedy chary	pchedal | otedy | shecthedchy | qoky | chedy | chary	source-symbol stream
f83r.9	f83r.9|P01	pchor checphedy qokedy lsheedy qokchdy r shedkedy qopshdy qopy	pchor | checphedy | qokedy | lsheedy | qokchdy | r | shedkedy | qopshdy | qopy	source-symbol stream
f83v.1	f83v.1|P01	poldaky dalol otedy chtair opchedy qotal chedy chepchedy opchey	poldaky | dalol | otedy | chtair | opchedy | qotal | chedy | chepchedy | opchey	source-symbol stream
f83v.10	f83v.10|P01	okarchy	okarchy	source-symbol stream
