world	nonwrapper_gain	full_gain	max_two_gain
3253	15.740058979	-51.061762034	15.740058979
3254	-1.315260686	-45.019471991	-1.315260686
3255	16.104854793	-77.185271109	16.104854793
3256	-1.508367737	-63.222574672	-1.508367737
3257	-10.381133692	-90.034384257	-10.381133692
3258	6.752368656	-53.157339501	6.752368656
3259	8.420664230	-66.987717572	8.420664230
3260	-11.051073469	-74.842178752	-11.051073469
3261	-2.351957348	-82.971686844	-2.351957348
3262	15.289425218	-37.824438205	15.289425218
3263	6.602801882	-52.720997908	6.602801882
3264	14.634547343	-90.654280077	14.634547343
3265	15.740058979	-35.242015723	15.740058979
3266	16.342489694	-28.616737827	16.342489694
3267	-1.306685540	-81.291869004	-1.306685540
3268	-10.998768659	-70.278595632	-10.998768659
3269	-0.360049241	-54.422841052	-0.360049241
3270	-1.635074149	-59.712230259	-1.635074149
3271	-1.295492495	-83.311318245	-1.295492495
3272	-10.570958460	-89.293751412	-10.570958460
3273	6.370693040	-35.982213765	6.370693040
3274	-1.098803993	-71.469635184	-1.098803993
3275	7.337867911	-64.031252763	7.337867911
3276	16.028193527	-38.611594749	16.028193527
3277	-1.482489864	-51.635629145	-1.482489864
3278	16.165957158	-41.873527019	16.165957158
3279	-1.356184172	-89.082204265	-1.356184172
3280	-10.104075525	-66.257626732	-10.104075525
3281	7.292264689	-55.030314319	7.292264689
3282	-1.896963131	-52.758446728	-1.896963131
3283	15.014629727	-36.255987219	15.014629727
3284	6.298000110	-71.243644689	6.298000110
3285	7.913741585	-29.484963600	7.913741585
3286	-1.499980870	-55.125118618	-1.499980870
3287	-9.083634893	-79.575327090	-9.083634893
3288	-10.333381634	-86.548266711	-10.333381634
3289	-18.380132485	-48.971714821	-18.380132485
3290	6.664756995	-95.295905966	6.664756995
3291	6.475831955	-76.259849267	6.475831955
3292	-1.958792095	-91.774832773	-1.958792095
3293	6.438747646	-63.159221852	6.438747646
3294	-1.508247526	-72.195467743	-1.508247526
3295	6.631307112	-77.628164791	6.631307112
3296	7.021901470	-47.510643489	7.021901470
3297	-2.113718380	-44.303867947	-2.113718380
3298	15.695118418	-67.075249333	15.695118418
3299	7.254832506	-53.981863056	7.254832506
3300	14.883736503	-55.716608848	14.883736503
3301	-1.750624353	-78.439685171	-1.750624353
3302	7.893737592	-40.574110806	7.893737592
3303	6.477362901	-86.484854666	6.477362901
3304	8.071791545	-62.790843096	8.071791545
3305	-1.110826116	-55.628639330	-1.110826116
3306	15.758101901	-65.595578799	15.758101901
3307	15.436566046	-33.163631058	15.436566046
3308	-10.853350660	-59.708223438	-10.853350660
3309	-1.525296910	-56.753309531	-1.525296910
3310	-1.052593322	-46.052711399	-1.052593322
3311	5.971597444	-40.149752800	5.971597444
3312	-2.635085932	-88.130924795	-2.635085932
3313	6.681865017	-64.459039847	6.681865017
3314	14.888440368	-35.597342540	14.888440368
3315	-2.586977244	-35.808069334	-2.586977244
3316	-1.299047080	-97.245297739	-1.299047080
3317	-1.525203602	-49.179772672	-1.525203602
3318	7.107667602	-30.420358174	7.107667602
3319	-3.036769533	-59.478135454	-3.036769533
3320	-19.228150246	-107.677842781	-19.228150246
3321	-2.135634392	-47.110994892	-2.135634392
3322	5.766518445	-63.856977630	5.766518445
3323	-10.161412552	-85.800926282	-10.161412552
3324	-1.971585692	-40.772200581	-1.971585692
3325	-1.797432048	-70.095666163	-1.797432048
3326	8.222697710	-60.640676547	8.222697710
3327	-9.979081229	-51.098494943	-9.979081229
3328	15.737266765	-31.689323015	15.737266765
3329	-10.543560923	-64.377320336	-10.543560923
3330	7.255781553	-69.627735434	7.255781553
3331	7.145305032	-84.752396608	7.145305032
3332	15.240035573	-56.367332798	15.240035573
3333	-2.400759381	-61.388534175	-2.400759381
3334	-10.634030920	-28.648004039	-10.634030920
3335	-0.905995096	-57.995542729	-0.905995096
3336	-10.595758868	-56.887046630	-10.595758868
3337	-9.726861455	-98.518104216	-9.726861455
3338	-1.700531462	-75.442009380	-1.700531462
3339	-1.369858223	-48.817082000	-1.369858223
3340	-1.554043826	-82.910959433	-1.554043826
3341	6.586853170	-50.948386622	6.586853170
3342	7.324667303	-78.476427264	7.324667303
3343	7.362935941	-51.225738328	7.362935941
3344	7.061129815	-56.904095646	7.061129815
3345	-0.873203911	-67.014630859	-0.873203911
3346	7.513288986	-77.424780715	7.513288986
3347	7.479297352	-64.544788799	7.479297352
3348	6.206404564	-78.596382782	6.206404564
3349	-1.812607171	-47.049729305	-1.812607171
3350	15.527891262	-66.078011749	15.527891262
3351	16.360608896	-68.250787972	16.360608896
3352	-2.659409669	-72.330089266	-2.659409669
3353	6.421385800	-41.874784490	6.421385800
3354	-1.927434484	-86.335814304	-1.927434484
3355	7.308445269	-52.676936913	7.308445269
3356	-1.295247744	-79.187417482	-1.295247744
3357	-1.499367183	-38.331218450	-1.499367183
3358	-2.416119624	-105.501342595	-2.416119624
3359	-0.627203748	-34.559992783	-0.627203748
3360	-2.348202530	-42.712986058	-2.348202530
3361	-1.037297989	-16.626866127	-1.037297989
3362	7.910590834	-34.491037470	7.910590834
3363	8.202524717	-56.374917847	8.202524717
3364	-1.331607776	-53.190936294	-1.331607776
3365	7.563442016	-64.230765245	7.563442016
3366	5.800114153	-20.848460634	5.800114153
3367	7.148757025	-55.845512213	7.148757025
3368	7.944068238	-32.916944473	7.944068238
3369	7.120022805	-83.975127115	7.120022805
3370	-10.750633370	-106.663970620	-10.750633370
3371	-0.846992250	-55.604040922	-0.846992250
3372	6.169311305	-55.594625903	6.169311305
3373	7.517294100	-80.644236910	7.517294100
3374	14.997549409	-58.828489937	14.997549409
3375	6.844374567	-82.798535305	6.844374567
3376	8.018707826	-63.075701759	8.018707826
3377	-2.593560586	-66.875908120	-2.593560586
3378	-1.520605742	-59.424561776	-1.520605742
3379	-1.109921587	-90.511477461	-1.109921587
3380	-1.980576277	-38.119320310	-1.980576277
3381	16.228744119	-56.551994025	16.228744119
3382	-1.521510271	-37.693111154	-1.521510271
3383	6.013807279	-36.175901173	6.013807279
3384	7.501081535	-54.864379280	7.501081535
3385	-2.591540698	-43.816158920	-2.591540698
3386	-10.833335695	-76.716334606	-10.833335695
3387	-1.191645624	-51.192810092	-1.191645624
