language	unit	held_occurrences	modal_category	category_consensus_fraction	modal_output	exact_mapping_consensus_fraction	all_categories	all_outputs
middle_high_german	e	453	N	0.5		0.5	N,N,S,L,N,S	,,her,t,,ein
middle_high_german	t	359	N	0.5		0.5	S,N,N,W,S,N	ere,,,durch,sch,
middle_high_german	qot	353	S	0.5		0.5	S,S,N,N,S,N	her,gel,,,get,
middle_high_german	yk	149	N	0.5		0.5	S,N,N,L,L,N	gel,,,s,s,
middle_high_german	CEy	113	S	0.5	e	0.5	S,L,L,L,S,S	get,e,e,e,gen,art
middle_high_german	op	110	N	0.5		0.5	N,L,L,N,N,L	,i,i,,,m
middle_high_german	f	104	N	0.5		0.5	N,L,L,N,N,L	,t,n,,,i
middle_high_german	yt	90	N	0.5		0.5	S,N,S,N,L,N	ane,,ger,,s,
middle_high_german	ol	712	W	1.0	sprach	0.3333333333333333	W,W,W,W,W,W	ritter,sprach,enmohte,sprach,enmohte,uuolde
middle_high_german	C	711	W	1.0	geschach	0.3333333333333333	W,W,W,W,W,W	gesellen,cunegin,vrouuuen,geschehen,geschach,geschach
middle_high_german	d	597	W	1.0	sprach	0.3333333333333333	W,W,W,W,W,W	sprach,schoene,sprach,uuolde,ritter,vrouuue
middle_high_german	y	554	W	1.0	vrouuuen	0.3333333333333333	W,W,W,W,W,W	geschach,vrouuuen,begunde,vrouuuen,geschiht,sprach
middle_high_german	Cedy	448	S	1.0	und	0.3333333333333333	S,S,S,S,S,S	des,ste,den,und,ere,und
middle_high_german	aI	414	S	1.0	ste	0.3333333333333333	S,S,S,S,S,S	ste,ez,ste,ere,er,in
middle_high_german	daN	387	S	1.0	des	0.3333333333333333	S,S,S,S,S,S	er,han,gen,des,des,die
middle_high_german	Cey	264	S	1.0	er	0.3333333333333333	S,S,S,S,S,S	nen,diu,er,man,an,er
middle_high_german	am	242	S	1.0	nie	0.3333333333333333	S,S,S,S,S,S	nie,nie,iht,eit,in,ich
middle_high_german	Col	188	S	1.0	dar	0.3333333333333333	S,S,S,S,S,S	sch,her,dar,min,mit,dar
middle_high_german	dal	174	S	1.0	ers	0.3333333333333333	S,S,S,S,S,S	von,gen,ers,sch,ers,ger
middle_high_german	Sedy	173	S	1.0	daz	0.3333333333333333	S,S,S,S,S,S	diu,daz,nen,den,von,daz
middle_high_german	Cdy	167	S	1.0	als	0.3333333333333333	S,S,S,S,S,S	zen,et,als,ant,iu,als
middle_high_german	Co	121	S	1.0	uua	0.3333333333333333	S,S,S,S,S,S	min,ein,uua,uue,si,uua
middle_high_german	P	66	L	1.0	i	0.3333333333333333	L,L,L,L,L,L	i,i,l,s,z,r
middle_high_german	otal	48	L	1.0	s	0.3333333333333333	L,L,L,L,L,L	s,n,n,r,h,s
middle_high_german	oty	48	L	1.0	n	0.3333333333333333	L,L,L,L,L,L	e,n,t,n,z,z
middle_high_german	I	9	L	1.0	c	0.3333333333333333	L,L,L,L,L,L	z,c,r,t,c,i
