edition	k	model	records	held_folios	pseudo_gain_bits	selector_paid_gain_bits	positive_folios	local_p	max_20_p	null_median_bits	mean_cross_reading_ari
RF1b	3	OPEN_WRAPPER7	170	8	0.989972673142	-3.331955421745	7	0.202831340005	0.990724920674	0.824389387625	0.240788837272
RF1b	3	OPEN_COMPILER12	170	8	1.081009755810	-3.240918339077	7	0.164022455455	0.957285818892	0.848637019199	0.240788837272
RF1b	3	OPEN_EDGE29	170	8	1.094385467098	-3.227542627789	7	0.158896753722	0.951916036124	0.774642780237	0.240788837272
RF1b	3	RAW_OPEN_CHAR3_HASH32	170	8	1.014582388120	-3.307345706768	7	0.072003905297	0.985111056871	0.637946553772	0.240788837272
RF1b	4	OPEN_WRAPPER7	170	8	0.928644206423	-3.393283888465	7	0.266048328045	0.997803270686	0.817488009608	0.138903689124
RF1b	4	OPEN_COMPILER12	170	8	0.965696752624	-3.356231342264	7	0.274591164267	0.994386136197	0.841404576282	0.138903689124
RF1b	4	OPEN_EDGE29	170	8	0.576697844903	-3.745230249984	5	0.695875030510	1.000000000000	0.723073424346	0.138903689124
RF1b	4	RAW_OPEN_CHAR3_HASH32	170	8	0.904684598942	-3.417243495945	5	0.365389309251	0.999023675860	0.811219052823	0.138903689124
RF1b	5	OPEN_WRAPPER7	170	8	0.968687368633	-3.353240726254	7	0.064437393215	0.994386136197	0.760513684818	0.075744327273
RF1b	5	OPEN_COMPILER12	170	8	0.792367206435	-3.529560888453	6	0.036612155236	1.000000000000	0.486239621647	0.075744327273
RF1b	5	OPEN_EDGE29	170	8	0.041521127327	-4.280406967560	6	0.199170124481	1.000000000000	-0.133420223869	0.075744327273
RF1b	5	RAW_OPEN_CHAR3_HASH32	170	8	-0.232028611754	-4.553956706642	3	0.044666829387	1.000000000000	-0.598586548128	0.075744327273
RF1b	6	OPEN_WRAPPER7	170	8	0.506721705336	-3.815206389551	6	0.197217476202	1.000000000000	0.408061113538	0.098727608176
RF1b	6	OPEN_COMPILER12	170	8	0.647552426276	-3.674375668611	6	0.122772760557	1.000000000000	0.445893827359	0.098727608176
RF1b	6	OPEN_EDGE29	170	8	0.250173341615	-4.071754753272	3	0.329753478155	1.000000000000	0.137285055050	0.098727608176
RF1b	6	RAW_OPEN_CHAR3_HASH32	170	8	-0.594170620343	-4.916098715231	3	0.492799609470	1.000000000000	-0.598198667932	0.098727608176
