control_id	k	split	held_value	model	scored_events	bits	top1
ARBITRARY_LOCAL_CODEBOOK	4	HELD_PHYSICAL_FOLIO	F:ARBITRARY_LOCAL_CODEBOOK:CONTROL_P:R1:S1:F0030	POSITION_CONTEXT	12	11.451939785398	9
ARBITRARY_LOCAL_CODEBOOK	4	HELD_PHYSICAL_FOLIO	F:ARBITRARY_LOCAL_CODEBOOK:CONTROL_P:R1:S1:F0030	OTHER_POSITION_HOST_BAG	12	9.883720847210	9
ARBITRARY_LOCAL_CODEBOOK	4	HELD_PHYSICAL_FOLIO	F:ARBITRARY_LOCAL_CODEBOOK:CONTROL_P:R1:S1:F0030	LATENT_HOST_CLASS	12	12.676755904774	9
ARBITRARY_LOCAL_CODEBOOK	4	HELD_PHYSICAL_FOLIO	F:ARBITRARY_LOCAL_CODEBOOK:CONTROL_P:R1:S1:F0031	POSITION_CONTEXT	18	23.089756348404	14
ARBITRARY_LOCAL_CODEBOOK	4	HELD_PHYSICAL_FOLIO	F:ARBITRARY_LOCAL_CODEBOOK:CONTROL_P:R1:S1:F0031	OTHER_POSITION_HOST_BAG	18	24.454996589835	14
ARBITRARY_LOCAL_CODEBOOK	4	HELD_PHYSICAL_FOLIO	F:ARBITRARY_LOCAL_CODEBOOK:CONTROL_P:R1:S1:F0031	LATENT_HOST_CLASS	18	20.622027488225	14
ARBITRARY_LOCAL_CODEBOOK	4	HELD_PHYSICAL_FOLIO	F:ARBITRARY_LOCAL_CODEBOOK:CONTROL_P:R1:S1:F0032	POSITION_CONTEXT	10	13.122077181992	7
ARBITRARY_LOCAL_CODEBOOK	4	HELD_PHYSICAL_FOLIO	F:ARBITRARY_LOCAL_CODEBOOK:CONTROL_P:R1:S1:F0032	OTHER_POSITION_HOST_BAG	10	12.470423565443	7
ARBITRARY_LOCAL_CODEBOOK	4	HELD_PHYSICAL_FOLIO	F:ARBITRARY_LOCAL_CODEBOOK:CONTROL_P:R1:S1:F0032	LATENT_HOST_CLASS	10	13.254151260770	7
ARBITRARY_LOCAL_CODEBOOK	4	HELD_PHYSICAL_FOLIO	F:ARBITRARY_LOCAL_CODEBOOK:CONTROL_P:R1:S1:F0033	POSITION_CONTEXT	1	0.143397302877	1
ARBITRARY_LOCAL_CODEBOOK	4	HELD_PHYSICAL_FOLIO	F:ARBITRARY_LOCAL_CODEBOOK:CONTROL_P:R1:S1:F0033	OTHER_POSITION_HOST_BAG	1	0.130887867057	1
ARBITRARY_LOCAL_CODEBOOK	4	HELD_PHYSICAL_FOLIO	F:ARBITRARY_LOCAL_CODEBOOK:CONTROL_P:R1:S1:F0033	LATENT_HOST_CLASS	1	0.142107875203	1
ARBITRARY_LOCAL_CODEBOOK	4	HELD_PHYSICAL_FOLIO	F:ARBITRARY_LOCAL_CODEBOOK:CONTROL_P:R1:S1:F0034	POSITION_CONTEXT	16	29.067987353469	13
ARBITRARY_LOCAL_CODEBOOK	4	HELD_PHYSICAL_FOLIO	F:ARBITRARY_LOCAL_CODEBOOK:CONTROL_P:R1:S1:F0034	OTHER_POSITION_HOST_BAG	16	29.951430582116	13
ARBITRARY_LOCAL_CODEBOOK	4	HELD_PHYSICAL_FOLIO	F:ARBITRARY_LOCAL_CODEBOOK:CONTROL_P:R1:S1:F0034	LATENT_HOST_CLASS	16	25.515600131069	13
ARBITRARY_LOCAL_CODEBOOK	4	HELD_PHYSICAL_FOLIO	F:ARBITRARY_LOCAL_CODEBOOK:CONTROL_P:R1:S1:F0035	POSITION_CONTEXT	20	20.319743336735	17
ARBITRARY_LOCAL_CODEBOOK	4	HELD_PHYSICAL_FOLIO	F:ARBITRARY_LOCAL_CODEBOOK:CONTROL_P:R1:S1:F0035	OTHER_POSITION_HOST_BAG	20	22.135440193556	17
ARBITRARY_LOCAL_CODEBOOK	4	HELD_PHYSICAL_FOLIO	F:ARBITRARY_LOCAL_CODEBOOK:CONTROL_P:R1:S1:F0035	LATENT_HOST_CLASS	20	21.405396329990	17
ARBITRARY_LOCAL_CODEBOOK	4	HELD_PHYSICAL_FOLIO	F:ARBITRARY_LOCAL_CODEBOOK:CONTROL_P:R1:S1:F0036	POSITION_CONTEXT	23	7.783073535927	22
ARBITRARY_LOCAL_CODEBOOK	4	HELD_PHYSICAL_FOLIO	F:ARBITRARY_LOCAL_CODEBOOK:CONTROL_P:R1:S1:F0036	OTHER_POSITION_HOST_BAG	23	9.498794594653	22
ARBITRARY_LOCAL_CODEBOOK	4	HELD_PHYSICAL_FOLIO	F:ARBITRARY_LOCAL_CODEBOOK:CONTROL_P:R1:S1:F0036	LATENT_HOST_CLASS	23	8.630661603654	22
ARBITRARY_LOCAL_CODEBOOK	4	HELD_PHYSICAL_FOLIO	F:ARBITRARY_LOCAL_CODEBOOK:CONTROL_P:R1:S1:F0037	POSITION_CONTEXT	22	23.636412338162	17
ARBITRARY_LOCAL_CODEBOOK	4	HELD_PHYSICAL_FOLIO	F:ARBITRARY_LOCAL_CODEBOOK:CONTROL_P:R1:S1:F0037	OTHER_POSITION_HOST_BAG	22	25.827975608807	17
ARBITRARY_LOCAL_CODEBOOK	4	HELD_PHYSICAL_FOLIO	F:ARBITRARY_LOCAL_CODEBOOK:CONTROL_P:R1:S1:F0037	LATENT_HOST_CLASS	22	28.808187720835	17
ARBITRARY_LOCAL_CODEBOOK	4	HELD_PHYSICAL_FOLIO	F:ARBITRARY_LOCAL_CODEBOOK:CONTROL_P:R1:S1:F0038	POSITION_CONTEXT	8	1.404047668319	8
ARBITRARY_LOCAL_CODEBOOK	4	HELD_PHYSICAL_FOLIO	F:ARBITRARY_LOCAL_CODEBOOK:CONTROL_P:R1:S1:F0038	OTHER_POSITION_HOST_BAG	8	1.806581525463	8
ARBITRARY_LOCAL_CODEBOOK	4	HELD_PHYSICAL_FOLIO	F:ARBITRARY_LOCAL_CODEBOOK:CONTROL_P:R1:S1:F0038	LATENT_HOST_CLASS	8	1.422994833358	8
ARBITRARY_LOCAL_CODEBOOK	4	HELD_PHYSICAL_FOLIO	F:ARBITRARY_LOCAL_CODEBOOK:CONTROL_P:R1:S1:F0039	POSITION_CONTEXT	17	35.732375897157	11
ARBITRARY_LOCAL_CODEBOOK	4	HELD_PHYSICAL_FOLIO	F:ARBITRARY_LOCAL_CODEBOOK:CONTROL_P:R1:S1:F0039	OTHER_POSITION_HOST_BAG	17	38.979483115060	11
ARBITRARY_LOCAL_CODEBOOK	4	HELD_PHYSICAL_FOLIO	F:ARBITRARY_LOCAL_CODEBOOK:CONTROL_P:R1:S1:F0039	LATENT_HOST_CLASS	17	37.862870273096	11
ARBITRARY_LOCAL_CODEBOOK	4	HELD_PHYSICAL_FOLIO	F:ARBITRARY_LOCAL_CODEBOOK:CONTROL_P:R1:S1:F0040	POSITION_CONTEXT	10	4.113127483271	9
ARBITRARY_LOCAL_CODEBOOK	4	HELD_PHYSICAL_FOLIO	F:ARBITRARY_LOCAL_CODEBOOK:CONTROL_P:R1:S1:F0040	OTHER_POSITION_HOST_BAG	10	3.416015162554	9
ARBITRARY_LOCAL_CODEBOOK	4	HELD_PHYSICAL_FOLIO	F:ARBITRARY_LOCAL_CODEBOOK:CONTROL_P:R1:S1:F0040	LATENT_HOST_CLASS	10	3.964995672571	9
ARBITRARY_LOCAL_CODEBOOK	4	HELD_PHYSICAL_FOLIO	F:ARBITRARY_LOCAL_CODEBOOK:CONTROL_P:R1:S1:F0064	POSITION_CONTEXT	25	29.617077572512	21
ARBITRARY_LOCAL_CODEBOOK	4	HELD_PHYSICAL_FOLIO	F:ARBITRARY_LOCAL_CODEBOOK:CONTROL_P:R1:S1:F0064	OTHER_POSITION_HOST_BAG	25	30.332773381132	21
ARBITRARY_LOCAL_CODEBOOK	4	HELD_PHYSICAL_FOLIO	F:ARBITRARY_LOCAL_CODEBOOK:CONTROL_P:R1:S1:F0064	LATENT_HOST_CLASS	25	25.406633204281	21
ARBITRARY_LOCAL_CODEBOOK	4	HELD_PHYSICAL_FOLIO	F:ARBITRARY_LOCAL_CODEBOOK:CONTROL_P:R1:S1:F0065	POSITION_CONTEXT	6	1.213073352359	6
ARBITRARY_LOCAL_CODEBOOK	4	HELD_PHYSICAL_FOLIO	F:ARBITRARY_LOCAL_CODEBOOK:CONTROL_P:R1:S1:F0065	OTHER_POSITION_HOST_BAG	6	1.604404600790	6
ARBITRARY_LOCAL_CODEBOOK	4	HELD_PHYSICAL_FOLIO	F:ARBITRARY_LOCAL_CODEBOOK:CONTROL_P:R1:S1:F0065	LATENT_HOST_CLASS	6	1.542216664198	6
ARBITRARY_LOCAL_CODEBOOK	4	HELD_PHYSICAL_FOLIO	F:ARBITRARY_LOCAL_CODEBOOK:CONTROL_P:R1:S1:F0066	POSITION_CONTEXT	8	3.919748132107	7
ARBITRARY_LOCAL_CODEBOOK	4	HELD_PHYSICAL_FOLIO	F:ARBITRARY_LOCAL_CODEBOOK:CONTROL_P:R1:S1:F0066	OTHER_POSITION_HOST_BAG	8	3.950764860908	7
ARBITRARY_LOCAL_CODEBOOK	4	HELD_PHYSICAL_FOLIO	F:ARBITRARY_LOCAL_CODEBOOK:CONTROL_P:R1:S1:F0066	LATENT_HOST_CLASS	8	4.369150528202	7
ARBITRARY_LOCAL_CODEBOOK	4	HELD_PHYSICAL_FOLIO	F:ARBITRARY_LOCAL_CODEBOOK:CONTROL_P:R1:S1:F0067	POSITION_CONTEXT	9	1.923902727803	9
ARBITRARY_LOCAL_CODEBOOK	4	HELD_PHYSICAL_FOLIO	F:ARBITRARY_LOCAL_CODEBOOK:CONTROL_P:R1:S1:F0067	OTHER_POSITION_HOST_BAG	9	2.314267518575	9
ARBITRARY_LOCAL_CODEBOOK	4	HELD_PHYSICAL_FOLIO	F:ARBITRARY_LOCAL_CODEBOOK:CONTROL_P:R1:S1:F0067	LATENT_HOST_CLASS	9	1.869993535442	9
ARBITRARY_LOCAL_CODEBOOK	4	HELD_PHYSICAL_FOLIO	F:ARBITRARY_LOCAL_CODEBOOK:CONTROL_P:R1:S1:F0068	POSITION_CONTEXT	14	19.193457834858	11
ARBITRARY_LOCAL_CODEBOOK	4	HELD_PHYSICAL_FOLIO	F:ARBITRARY_LOCAL_CODEBOOK:CONTROL_P:R1:S1:F0068	OTHER_POSITION_HOST_BAG	14	17.367876754354	11
ARBITRARY_LOCAL_CODEBOOK	4	HELD_PHYSICAL_FOLIO	F:ARBITRARY_LOCAL_CODEBOOK:CONTROL_P:R1:S1:F0068	LATENT_HOST_CLASS	14	17.994742181119	11
ARBITRARY_LOCAL_CODEBOOK	4	HELD_PHYSICAL_FOLIO	F:ARBITRARY_LOCAL_CODEBOOK:CONTROL_P:R1:S1:F0069	POSITION_CONTEXT	22	13.978532648872	19
ARBITRARY_LOCAL_CODEBOOK	4	HELD_PHYSICAL_FOLIO	F:ARBITRARY_LOCAL_CODEBOOK:CONTROL_P:R1:S1:F0069	OTHER_POSITION_HOST_BAG	22	14.829010998054	19
ARBITRARY_LOCAL_CODEBOOK	4	HELD_PHYSICAL_FOLIO	F:ARBITRARY_LOCAL_CODEBOOK:CONTROL_P:R1:S1:F0069	LATENT_HOST_CLASS	22	14.260088611333	19
ARBITRARY_LOCAL_CODEBOOK	4	HELD_PHYSICAL_FOLIO	F:ARBITRARY_LOCAL_CODEBOOK:CONTROL_P:R1:S1:F0070	POSITION_CONTEXT	11	1.687263144439	11
ARBITRARY_LOCAL_CODEBOOK	4	HELD_PHYSICAL_FOLIO	F:ARBITRARY_LOCAL_CODEBOOK:CONTROL_P:R1:S1:F0070	OTHER_POSITION_HOST_BAG	11	2.320881319187	11
ARBITRARY_LOCAL_CODEBOOK	4	HELD_PHYSICAL_FOLIO	F:ARBITRARY_LOCAL_CODEBOOK:CONTROL_P:R1:S1:F0070	LATENT_HOST_CLASS	11	1.891624838507	11
ARBITRARY_LOCAL_CODEBOOK	4	HELD_PHYSICAL_FOLIO	F:ARBITRARY_LOCAL_CODEBOOK:CONTROL_P:R1:S1:F0071	POSITION_CONTEXT	22	17.276677459026	19
ARBITRARY_LOCAL_CODEBOOK	4	HELD_PHYSICAL_FOLIO	F:ARBITRARY_LOCAL_CODEBOOK:CONTROL_P:R1:S1:F0071	OTHER_POSITION_HOST_BAG	22	16.320956698777	19
ARBITRARY_LOCAL_CODEBOOK	4	HELD_PHYSICAL_FOLIO	F:ARBITRARY_LOCAL_CODEBOOK:CONTROL_P:R1:S1:F0071	LATENT_HOST_CLASS	22	16.514521272742	19
ARBITRARY_LOCAL_CODEBOOK	4	HELD_PHYSICAL_FOLIO	F:ARBITRARY_LOCAL_CODEBOOK:CONTROL_P:R1:S1:F0072	POSITION_CONTEXT	16	37.737446924384	10
ARBITRARY_LOCAL_CODEBOOK	4	HELD_PHYSICAL_FOLIO	F:ARBITRARY_LOCAL_CODEBOOK:CONTROL_P:R1:S1:F0072	OTHER_POSITION_HOST_BAG	16	35.112012645353	10
