control_id	view	representation	events	scoring_folds	observed_bits	null_mean_bits	null_sd_bits	saving_bits	saving_bits_per_event	null_z	ratio_s_event_to_voynich	ratio_z_to_voynich	powered_for_gate	reproduces_voynich_magnitude	lower_tail_p	representation_changes_across_folds	rank_by_saving_bits_per_event
LATIN_15C_GRAPHEMATIC	NATIVE_ORDER	LOFO_SAFE	8448	12	149548.858015878155	152922.695098331547	62.003535210709	3373.837082453392	0.399365184950	54.413624497183	1.095215948877	1.692102254344	1	1	0.015384615385	24731	3
VOYNICH_REFERENCE	NATIVE_ORDER	LOFO_SAFE	8448	91	67941.558819062644	70845.578442723126	99.765461306150	2904.019623660482	0.343752322876	29.108466854565	0.942703672393	0.905186942429	1	0	0.015384615385	44283	4
IFORAL_1395_1411_GRAPHEMATIC	NATIVE_ORDER	LOFO_SAFE	6104	6	90580.953549318874	92610.264279290583	56.455582965103	2029.310729971708	0.332455886299	35.945262158148	0.911724413382	1.117790988798	0	0	0.015384615385	13958	5
STE1_DIPLOMATIC_RECIPES	NATIVE_ORDER	LOFO_SAFE	111	2	1708.703084100824	1736.814652460447	9.587643466535	28.111568359624	0.253257372609	2.932062342300	0.694531031010	0.091178438215	0	0	0.015384615385	180	6
COMPOSITIONAL_TECHNICAL_NOTATION	NATIVE_ORDER	LOFO_SAFE	8448	175	156038.097498289455	156947.400592982129	86.306608098737	909.303094692674	0.107635309504	10.535729705104	0.295178228033	0.327629930002	1	0	0.015384615385	199576	7
HYBRID_SHORTHAND	NATIVE_ORDER	LOFO_SAFE	8448	176	163502.055390557594	164206.353280147305	71.625230229776	704.297889589710	0.083368594885	9.833097741261	0.228629380313	0.305780160923	1	0	0.015384615385	885151	8
LATIN_GERMAN_APOTHECARY_LATE15	NATIVE_ORDER	LOFO_SAFE	1554	6	29240.265679695152	29296.172807187038	13.326330898074	55.907127491886	0.035976272517	4.195237827988	0.098661047400	0.130459447461	0	0	0.015384615385	4111	9
AUGSBURG_ACCOUNTS_1402_1424	NATIVE_ORDER	LOFO_SAFE	8448	12	100231.587277892846	100499.238467478630	43.899346605963	267.651189585784	0.031682195737	6.096928776371	0.086885004938	0.189596392859	1	0	0.015384615385	62837	10
ARBITRARY_LOCAL_CODEBOOK	NATIVE_ORDER	LOFO_SAFE	8448	176	168298.785147065471	168499.185353405715	80.095969332099	200.400206340244	0.023721615334	2.502001137028	0.065053971718	0.077804810899	1	0	0.015384615385	958728	11
STE1_EXPANDED_RECIPES	NATIVE_ORDER	LOFO_SAFE	111	2	1752.552248949649	1754.213896818405	1.869170594647	1.661647868756	0.014969800619	0.888976037562	0.041053063732	0.027644516812	0	0	0.261538461538	175	12
ABBREVIATION_HEAVY_MEDIEVAL	NATIVE_ORDER	LOFO_SAFE	8448	4	121626.819493267569	121684.113205936199	30.019335485996	57.293712668630	0.006781926216	1.908560324240	0.018598701227	0.059350562603	1	0	0.061538461538	26025	13
LEARNED_ABBREVIATION_MAP	NATIVE_ORDER	LOFO_SAFE	8448	4	120056.861716900952	120100.641107073228	10.768088007918	43.779390172276	0.005182219481	4.065660509097	0.014211678032	0.126429977352	1	0	0.015384615385	15252	14
LEARNED_ABBREVIATION_SAMPLED	NATIVE_ORDER	LOFO_SAFE	8448	4	123818.647605407023	123850.092856740535	12.493402593512	31.445251333513	0.003722212516	2.516948533288	0.010207766390	0.078269630568	1	0	0.015384615385	11797	15
ORDINARY_NATURAL_LANGUAGE	NATIVE_ORDER	LOFO_SAFE	8448	4	129171.454646546859	129186.730755505661	14.297492577180	15.276108958802	0.001808251534	1.068446713739	0.004958934815	0.033225522278	1	0	0.153846153846	23439	16
LATIN_SCHOLASTIC_GRAPHEMATIC	NATIVE_ORDER	PUBLISHED_FULL_INVENTORY	8448	6	98836.147926459773	102833.286777101443	78.492019783658	3997.138850641670	0.473146170767	50.924143137846	1.297552345330	1.583589738789	1	1	0.015384615385		1
LATIN_MEDICAL_GRAPHEMATIC	NATIVE_ORDER	PUBLISHED_FULL_INVENTORY	8448	10	133645.056236263568	137113.474531674059	74.835596060472	3468.418295410491	0.410560877771	46.347172709198	1.125918929004	1.441259540205	1	1	0.015384615385		2
VOYNICH_REFERENCE	NATIVE_ORDER	PUBLISHED_FULL_INVENTORY	8448	91	67619.980911195496	70700.503146023024	95.795100331479	3080.522234827527	0.364645150903	32.157409138547	1.000000000000	1.000000000000	1	0	0.015384615385		3
LATIN_15C_GRAPHEMATIC	NATIVE_ORDER	PUBLISHED_FULL_INVENTORY	8448	12	148908.589206182660	151880.542208920553	84.577798300192	2971.953002737893	0.351793679301	35.138689614378	0.964756225142	1.092708976118	1	0	0.015384615385		4
IFORAL_1395_1411_GRAPHEMATIC	NATIVE_ORDER	PUBLISHED_FULL_INVENTORY	6104	6	90909.883131438371	92498.213410308119	64.557260653628	1588.330278869747	0.260211382515	24.603433646165	0.713601653197	0.765093777927	0	0	0.015384615385		5
STE1_DIPLOMATIC_RECIPES	NATIVE_ORDER	PUBLISHED_FULL_INVENTORY	111	2	1712.888433180190	1738.772588600676	9.654511816861	25.884155420486	0.233190589374	2.681042388418	0.639500042154	0.083372462529	0	0	0.015384615385		6
COMPOSITIONAL_TECHNICAL_NOTATION	NATIVE_ORDER	PUBLISHED_FULL_INVENTORY	8448	175	155372.258504541387	156238.699051127041	82.166931236445	866.440546585654	0.102561617730	10.544881420633	0.281264175532	0.327914521198	1	0	0.015384615385		7
AUGSBURG_ACCOUNTS_1402_1424	NATIVE_ORDER	PUBLISHED_FULL_INVENTORY	8448	12	98920.459658775653	99559.616332549602	57.976593726782	639.156673773949	0.075657750210	11.024391615451	0.207483220393	0.342825865354	1	0	0.015384615385		8
HYBRID_SHORTHAND	NATIVE_ORDER	PUBLISHED_FULL_INVENTORY	8448	176	162664.601747724199	163267.486453256686	83.894267281174	602.884705532488	0.071364193363	7.186244365326	0.195708603793	0.223470875230	1	0	0.015384615385		9
ARBITRARY_LOCAL_CODEBOOK	NATIVE_ORDER	PUBLISHED_FULL_INVENTORY	8448	176	167235.003459611151	167491.900891133555	80.700469558578	256.897431522404	0.030409260360	3.183344941208	0.083394116951	0.098992581383	1	0	0.015384615385		10
LATIN_GERMAN_APOTHECARY_LATE15	NATIVE_ORDER	PUBLISHED_FULL_INVENTORY	1554	6	29195.981778170608	29230.566130955140	18.595327650778	34.584352784532	0.022255053272	1.859841000601	0.061032083429	0.057835536208	0	0	0.030769230769		11
LEARNED_ABBREVIATION_MAP	NATIVE_ORDER	PUBLISHED_FULL_INVENTORY	8448	4	120056.861716900952	120100.641107073228	10.768088007918	43.779390172276	0.005182219481	4.065660509097	0.014211678032	0.126429977352	1	0	0.015384615385		12
LEARNED_ABBREVIATION_SAMPLED	NATIVE_ORDER	PUBLISHED_FULL_INVENTORY	8448	4	123818.647605407008	123850.092856740535	12.493402593512	31.445251333527	0.003722212516	2.516948533289	0.010207766390	0.078269630568	1	0	0.015384615385		13
STE1_EXPANDED_RECIPES	NATIVE_ORDER	PUBLISHED_FULL_INVENTORY	111	2	1756.737598029015	1756.895742163853	0.473745239874	0.158144134838	0.001424721935	0.333816831343	0.003907146254	0.010380712883	0	0	0.323076923077		14
ORDINARY_NATURAL_LANGUAGE	NATIVE_ORDER	PUBLISHED_FULL_INVENTORY	8448	4	122710.395174622594	122497.284226467280	98.533695775674	-213.110948155314	-0.025226201249	-2.162823047260	-0.069180136324	-0.067257378788	1	0	1.000000000000		15
ABBREVIATION_HEAVY_MEDIEVAL	NATIVE_ORDER	PUBLISHED_FULL_INVENTORY	8448	4	113227.547927609732	112914.872140377760	112.726647857707	-312.675787231972	-0.037011811936	-2.773752197676	-0.101500902573	-0.086255462488	1	0	1.000000000000		16
