unit_id	edition	page	physical_folio	star_ordinal	locus	rays	tail	color	provenance	open_host_sha256	body_host_sha256	claim_state
7071c5ab2dfdc4f067ec	ZL3b	f105r	f105	7	f105r.26	7	2	yel	EXISTING_HUMAN_ANNOTATION_STOLFI_STAR_PROPS	97ebb8d941c0b379c268c1958ef03bc32079862a709a099a9314aa0e4f7e7bfb	fe62dd1edbaec5523a057f557c516b100ebd7c49240300c79c96253655423101	EXPLORATORY_PAGE_HOST_VISUAL_JOIN
578b304254e4a5919859	ZL3b	f105r	f105	8	f105r.28	7	2	RED	EXISTING_HUMAN_ANNOTATION_STOLFI_STAR_PROPS	fb4f461143f419c94a1ca8794fc7be3b8b67aad19dadf2f4b2e2aabfdf84fa54	be210d78c99f6321594b5c4a814693cae63e98d6f8db7dd732d946cd87285efe	EXPLORATORY_PAGE_HOST_VISUAL_JOIN
e85e6baacbb48d34d69f	ZL3b	f105r	f105	9	f105r.31	7	1	yel	EXISTING_HUMAN_ANNOTATION_STOLFI_STAR_PROPS	95e67e2138bbc38df1e83ea8d1b9e0cd046dde49eb37ee8fc87f6ddadfda4f16	e80123d2fdd75ad6d0134b3de6a48878a5faebaf94c6be6ce8a3733916ce3a90	EXPLORATORY_PAGE_HOST_VISUAL_JOIN
c190249e22b3007cc208	ZL3b	f105r	f105	10	f105r.35	7	2	RED	EXISTING_HUMAN_ANNOTATION_STOLFI_STAR_PROPS	02f8ab34447fc85030bb3973af1c9a51af9b64a18553454b9054d2172ce856ab	a44e70a0f85eeb54d5692326486c5d788d8608d28c15e7fa7b2c5ba4d889db28	EXPLORATORY_PAGE_HOST_VISUAL_JOIN
36658c918cd5c3987ef3	ZL3b	f105v	f105	1	f105v.1	7	2	RED	EXISTING_HUMAN_ANNOTATION_STOLFI_STAR_PROPS	a2e5672594b2119cf57e737bc4bf5f990820f493b7fc95d442c187fdb0def43e	1a698f82714103c54721cf099c490eb1c28dba28eb91b9a1106d813070fa6951	EXPLORATORY_PAGE_HOST_VISUAL_JOIN
023c4735fe7b4d9c5a3b	ZL3b	f105v	f105	2	f105v.5	7	2	yel	EXISTING_HUMAN_ANNOTATION_STOLFI_STAR_PROPS	a89a2601cb671cf15dd8cb065868eb89f2b1847b14ab58eb090deb864eaf6077	4ef32a35cd22915255a604c1ba87f8a79b66a9299ff44b0316db49908da6849c	EXPLORATORY_PAGE_HOST_VISUAL_JOIN
b0ad74b9016cc87d9493	ZL3b	f105v	f105	3	f105v.8	7	2	RED	EXISTING_HUMAN_ANNOTATION_STOLFI_STAR_PROPS	ed106c779f00f54ecba4c639dbff246b30b1c7599ce2a646d2630b95ef4a3b89	46cf2d57631e418237e492ae47d2b16e3f16fe0cb9b1a832164779fd3f4abd56	EXPLORATORY_PAGE_HOST_VISUAL_JOIN
f0dc171bae41c1fa61ad	ZL3b	f105v	f105	4	f105v.14	7	2	yel	EXISTING_HUMAN_ANNOTATION_STOLFI_STAR_PROPS	82023c34e9c528a75bb89efb80cd79d034229a290bcfada8e33006ff59070f2d	c36066bea39aa2bb9c325351ed8fb952d2d9d60faa309debb9a416bc6646f79b	EXPLORATORY_PAGE_HOST_VISUAL_JOIN
b6c7e205748878ef08e1	ZL3b	f105v	f105	5	f105v.18	7	1	RED	EXISTING_HUMAN_ANNOTATION_STOLFI_STAR_PROPS	ae4a2c958cf2d84237f7d01584569f79646adb485ec4c64a49a50dfe34c8671f	5bec2d2ae4b4f7650cda7ca8f214f3e7ef985722332f49e21ed3f1f5f68f4c21	EXPLORATORY_PAGE_HOST_VISUAL_JOIN
d13044ddd75212bb6e2a	ZL3b	f105v	f105	6	f105v.20	7	1	yel	EXISTING_HUMAN_ANNOTATION_STOLFI_STAR_PROPS	aa2e19baeae00c6821b9198339804bf6a6805fb832282dec3189c83f290f5ca7	64c556fef9af8d0c9c8477428ab5867972bd1a0791a2c8b991d6383a494506bb	EXPLORATORY_PAGE_HOST_VISUAL_JOIN
f1af057656bf3035f0f7	ZL3b	f105v	f105	7	f105v.23	7	1	RED	EXISTING_HUMAN_ANNOTATION_STOLFI_STAR_PROPS	e35604bd8a79b1f661a47d7d7610562ad7dfbe2ccaf349b161624cc31d174ee7	2a1266ef39ab28ed1680ce6558779645efccb227da1cf06fbbe48b29e0f8fa84	EXPLORATORY_PAGE_HOST_VISUAL_JOIN
ffee775b800db66d3690	ZL3b	f105v	f105	8	f105v.25	8	1	yel	EXISTING_HUMAN_ANNOTATION_STOLFI_STAR_PROPS	7823ecec29fcfd3085d26d5ecbf1fc39c9dd58b2391dbc5ee725db2bd1e1bbbc	6443b141f3d24206b93cbec41f583d3949332e7fd376502d1cba5bb87ef521a0	EXPLORATORY_PAGE_HOST_VISUAL_JOIN
88ef7d1c351dadc1aefd	ZL3b	f105v	f105	9	f105v.29	7	1	RED	EXISTING_HUMAN_ANNOTATION_STOLFI_STAR_PROPS	c8f8ad7bd0d6e0d5441b36efda8d1461e42246b907d9215847c82b3e31c27e26	4119d339f68a44f8117dea4d20cb64ea732ce6673fe682234bd3c2c8ac712056	EXPLORATORY_PAGE_HOST_VISUAL_JOIN
1a45c5601ccb355253c4	ZL3b	f105v	f105	10	f105v.32	7	2	yel	EXISTING_HUMAN_ANNOTATION_STOLFI_STAR_PROPS	6806904a9bfcb80a2696cbf028fc58e7856256b878f39deea43735189638705a	6572220e8fac09ac147534907a57a368d2f4bb4d037f431039b6894ac4228964	EXPLORATORY_PAGE_HOST_VISUAL_JOIN
