book	query_record	truth_dimension	truth_target_record	truth_set_jaccard	representation	candidate_pool	model_rank	reciprocal_rank	top1	top10	top_decile	normalized_rank	model_set_jaccard
Band2	NB_B2_R000008	ADDRESSEE	NB_B2_R000055	0.181818181818	RAW_CHAR3	463	260	0.00384615384615	0	0	0	0.561555075594	0.219512195122
Band2	NB_B2_R000008	ADDRESSEE	NB_B2_R000055	0.181818181818	PAGE_HOST_IDENTITY	463	219	0.00456621004566	0	0	0	0.473002159827	0.140740740741
Band2	NB_B2_R000008	ADDRESSEE	NB_B2_R000055	0.181818181818	PAGE_HOST_CHAR3	463	226	0.00442477876106	0	0	0	0.488120950324	0.221006564551
Band2	NB_B2_R000008	ADDRESSEE	NB_B2_R000055	0.181818181818	COMPILER_SIGNATURE	463	416	0.00240384615385	0	0	0	0.89848812095	0.205128205128
Band2	NB_B2_R000008	ADDRESSEE	NB_B2_R000055	0.181818181818	MARKER_AND_POSITION	463	280	0.00357142857143	0	0	0	0.60475161987	0.571428571429
Band2	NB_B2_R000008	ADDRESSEE	NB_B2_R000055	0.181818181818	HOST_PLUS_COMPILER	463	125	0.008	0	0	0	0.269978401728	0.111111111111
Band2	NB_B2_R000009	CONTENT	NB_B2_R000020	0.469230769231	RAW_GROUP_IDENTITY	463	1	1	1	1	1	0.00215982721382	0.305555555556
Band2	NB_B2_R000009	CONTENT	NB_B2_R000020	0.469230769231	RAW_CHAR3	463	1	1	1	1	1	0.00215982721382	0.519408502773
Band2	NB_B2_R000009	CONTENT	NB_B2_R000020	0.469230769231	PAGE_HOST_IDENTITY	463	1	1	1	1	1	0.00215982721382	0.360544217687
Band2	NB_B2_R000009	CONTENT	NB_B2_R000020	0.469230769231	PAGE_HOST_CHAR3	463	1	1	1	1	1	0.00215982721382	0.498924731183
Band2	NB_B2_R000009	CONTENT	NB_B2_R000020	0.469230769231	COMPILER_SIGNATURE	463	1	1	1	1	1	0.00215982721382	0.514285714286
Band2	NB_B2_R000009	CONTENT	NB_B2_R000020	0.469230769231	MARKER_AND_POSITION	463	305	0.00327868852459	0	0	0	0.658747300216	0.529411764706
Band2	NB_B2_R000009	CONTENT	NB_B2_R000020	0.469230769231	HOST_PLUS_COMPILER	463	1	1	1	1	1	0.00215982721382	0.305555555556
Band2	NB_B2_R000009	ADDRESSEE	NB_B2_R000020	0.307692307692	RAW_GROUP_IDENTITY	463	1	1	1	1	1	0.00215982721382	0.305555555556
Band2	NB_B2_R000009	ADDRESSEE	NB_B2_R000020	0.307692307692	RAW_CHAR3	463	1	1	1	1	1	0.00215982721382	0.519408502773
Band2	NB_B2_R000009	ADDRESSEE	NB_B2_R000020	0.307692307692	PAGE_HOST_IDENTITY	463	1	1	1	1	1	0.00215982721382	0.360544217687
