world_index	model	held_bits
59	ABBREVIATION_HEAVY_LANGUAGE	70556.381839669426
59	TECHNICAL_NOTATION	77847.669872793558
59	HYBRID	78647.986713361039
60	COMPRESSED_NATURAL_LANGUAGE	70915.644279181070
60	ABBREVIATION_HEAVY_LANGUAGE	70806.512715452453
60	TECHNICAL_NOTATION	77786.799715968344
60	HYBRID	78591.027361096611
61	COMPRESSED_NATURAL_LANGUAGE	71002.220266511504
61	ABBREVIATION_HEAVY_LANGUAGE	70624.342667388861
61	TECHNICAL_NOTATION	77852.961109815398
61	HYBRID	78525.513809280543
62	COMPRESSED_NATURAL_LANGUAGE	70939.705809328210
62	ABBREVIATION_HEAVY_LANGUAGE	70713.871624885156
62	TECHNICAL_NOTATION	78002.922427099475
62	HYBRID	78473.388929711684
63	COMPRESSED_NATURAL_LANGUAGE	70839.954363545738
63	ABBREVIATION_HEAVY_LANGUAGE	70675.865062229685
63	TECHNICAL_NOTATION	77755.298639036599
63	HYBRID	78577.036492153071
