panel	language_id	glottocode	family	parameter_id	concepticon_gloss	asjp_form_id	phoneme_segments	source_record_count_for_concept	loan_flag_retained_not_selected_on
KARTVELIAN_TARGET	LAZ	lazz1240	Kartvelian	72	SUN	LAZ-72-1	m ʒ o r ɐ	2	false
KARTVELIAN_TARGET	LAZ	lazz1240	Kartvelian	74	STAR	LAZ-74-1	m u r u ts x i	1	false
KARTVELIAN_TARGET	LAZ	lazz1240	Kartvelian	75	WATER	LAZ-75-1	tsʼ qʼ ɐ r i	2	false
KARTVELIAN_TARGET	LAZ	lazz1240	Kartvelian	77	STONE	LAZ-77-1	kʷ ɐ	2	false
KARTVELIAN_TARGET	LAZ	lazz1240	Kartvelian	82	FIRE	LAZ-82-1	d ɐ tʃˠ u r i	2	false
KARTVELIAN_TARGET	LAZ	lazz1240	Kartvelian	86	MOUNTAIN	LAZ-86-1	d ɐ x i	2	false
KARTVELIAN_TARGET	LAZ	lazz1240	Kartvelian	92	NIGHT	LAZ-92-1	s a r i	1	false
KARTVELIAN_TARGET	LAZ	lazz1240	Kartvelian	95	FULL	LAZ-95-1	o p ʃ ɐ	2	false
KARTVELIAN_TARGET	LAZ	lazz1240	Kartvelian	96	NEW	LAZ-96-1	ɐ x ɐ n i	2	false
KARTVELIAN_TARGET	LAZ	lazz1240	Kartvelian	100	NAME	LAZ-100-1	dʒ o x o	1	false
KARTVELIAN_TARGET	SVAN	svan1243	Kartvelian	1	I	SVAN-1-1	m i	1	false
KARTVELIAN_TARGET	SVAN	svan1243	Kartvelian	2	THOU	SVAN-2-1	s i	1	false
KARTVELIAN_TARGET	SVAN	svan1243	Kartvelian	3	WE	SVAN-3-1	s g a j	1	false
KARTVELIAN_TARGET	SVAN	svan1243	Kartvelian	11	ONE	SVAN-11-1	a ʃ x u	1	false
KARTVELIAN_TARGET	SVAN	svan1243	Kartvelian	12	TWO	SVAN-12-1	j a r u	1	false
KARTVELIAN_TARGET	SVAN	svan1243	Kartvelian	18	PERSON	SVAN-18-1	m ɐ r a	2	false
KARTVELIAN_TARGET	SVAN	svan1243	Kartvelian	19	FISH	SVAN-19-1	ts u z	2	false
KARTVELIAN_TARGET	SVAN	svan1243	Kartvelian	21	DOG	SVAN-21-1	ʒ a x	1	false
KARTVELIAN_TARGET	SVAN	svan1243	Kartvelian	22	LOUSE	SVAN-22-1	tʼ i ʃ	2	false
KARTVELIAN_TARGET	SVAN	svan1243	Kartvelian	23	TREE	SVAN-23-1	m a g a m	1	false
KARTVELIAN_TARGET	SVAN	svan1243	Kartvelian	25	LEAF	SVAN-25-1	b ɐ l a	1	false
KARTVELIAN_TARGET	SVAN	svan1243	Kartvelian	28	SKIN	SVAN-28-1	kʼ a n	2	false
KARTVELIAN_TARGET	SVAN	svan1243	Kartvelian	30	BLOOD	SVAN-30-1	z i s x	1	false
KARTVELIAN_TARGET	SVAN	svan1243	Kartvelian	31	BONE	SVAN-31-1	dʒ i dʒʷ	1	false
KARTVELIAN_TARGET	SVAN	svan1243	Kartvelian	34	HORN (ANATOMY)	SVAN-34-1	m i tʃ w’	1	false
KARTVELIAN_TARGET	SVAN	svan1243	Kartvelian	39	EAR	SVAN-39-1	ʃ d i m	2	false
KARTVELIAN_TARGET	SVAN	svan1243	Kartvelian	40	EYE	SVAN-40-1	t a	1	false
KARTVELIAN_TARGET	SVAN	svan1243	Kartvelian	41	NOSE	SVAN-41-1	n a p xʷ n ɐ	1	false
KARTVELIAN_TARGET	SVAN	svan1243	Kartvelian	43	TOOTH	SVAN-43-1	ʃ d i k	1	false
KARTVELIAN_TARGET	SVAN	svan1243	Kartvelian	44	TONGUE	SVAN-44-1	n ə n	1	false
KARTVELIAN_TARGET	SVAN	svan1243	Kartvelian	47	KNEE	SVAN-47-1	k u t u l	2	false
KARTVELIAN_TARGET	SVAN	svan1243	Kartvelian	48	HAND	SVAN-48-1	ʃ i	2	false
KARTVELIAN_TARGET	SVAN	svan1243	Kartvelian	51	BREAST	SVAN-51-1	gʷ a m	2	false
KARTVELIAN_TARGET	SVAN	svan1243	Kartvelian	53	LIVER	SVAN-53-1	q w’ i ʒ a	1	false
KARTVELIAN_TARGET	SVAN	svan1243	Kartvelian	54	DRINK	SVAN-54-1	t r	1	false
KARTVELIAN_TARGET	SVAN	svan1243	Kartvelian	57	SEE	SVAN-57-1	s g d	1	false
KARTVELIAN_TARGET	SVAN	svan1243	Kartvelian	58	HEAR	SVAN-58-1	s m	1	false
KARTVELIAN_TARGET	SVAN	svan1243	Kartvelian	61	DIE	SVAN-61-1	ʃ g r	1	false
KARTVELIAN_TARGET	SVAN	svan1243	Kartvelian	66	COME	SVAN-66-1	q a d	1	false
KARTVELIAN_TARGET	SVAN	svan1243	Kartvelian	72	SUN	SVAN-72-1	m ə ʒ	1	false
KARTVELIAN_TARGET	SVAN	svan1243	Kartvelian	74	STAR	SVAN-74-1	ɐ n tʼ qʼʷ ɐ s g	1	false
KARTVELIAN_TARGET	SVAN	svan1243	Kartvelian	75	WATER	SVAN-75-1	l i ts	1	false
KARTVELIAN_TARGET	SVAN	svan1243	Kartvelian	77	STONE	SVAN-77-1	b a tʃ	1	false
KARTVELIAN_TARGET	SVAN	svan1243	Kartvelian	82	FIRE	SVAN-82-1	l a m a s g	1	false
KARTVELIAN_TARGET	SVAN	svan1243	Kartvelian	86	MOUNTAIN	SVAN-86-1	t ɐ n ɐ x	2	false
KARTVELIAN_TARGET	SVAN	svan1243	Kartvelian	92	NIGHT	SVAN-92-1	l e t	2	false
KARTVELIAN_TARGET	SVAN	svan1243	Kartvelian	95	FULL	SVAN-95-1	gʷ a ʃ i	2	false
KARTVELIAN_TARGET	SVAN	svan1243	Kartvelian	96	NEW	SVAN-96-1	m ɐ x a	1	false
KARTVELIAN_TARGET	SVAN	svan1243	Kartvelian	100	NAME	SVAN-100-1	ʒ ɐ x a	1	false
UNRELATED_CONTROL	ARMENIAN	nucl1235	Indo-European	1	I	ARMENIAN-1-1	j a s	1	false
UNRELATED_CONTROL	ARMENIAN	nucl1235	Indo-European	2	THOU	ARMENIAN-2-1	d u	1	false
UNRELATED_CONTROL	ARMENIAN	nucl1235	Indo-European	3	WE	ARMENIAN-3-1	m a n kʰ	1	false
UNRELATED_CONTROL	ARMENIAN	nucl1235	Indo-European	11	ONE	ARMENIAN-11-1	m a k	1	false
UNRELATED_CONTROL	ARMENIAN	nucl1235	Indo-European	12	TWO	ARMENIAN-12-1	j a r k u	1	false
UNRELATED_CONTROL	ARMENIAN	nucl1235	Indo-European	18	PERSON	ARMENIAN-18-1	m o r tʰ	1	false
UNRELATED_CONTROL	ARMENIAN	nucl1235	Indo-European	19	FISH	ARMENIAN-19-1	ts u k	1	false
UNRELATED_CONTROL	ARMENIAN	nucl1235	Indo-European	21	DOG	ARMENIAN-21-1	ʃ u n	1	false
UNRELATED_CONTROL	ARMENIAN	nucl1235	Indo-European	22	LOUSE	ARMENIAN-22-1	w o tʃʰ i l	1	false
UNRELATED_CONTROL	ARMENIAN	nucl1235	Indo-European	23	TREE	ARMENIAN-23-1	ts ɐ r	1	false
UNRELATED_CONTROL	ARMENIAN	nucl1235	Indo-European	25	LEAF	ARMENIAN-25-1	t a r a v	1	false
UNRELATED_CONTROL	ARMENIAN	nucl1235	Indo-European	28	SKIN	ARMENIAN-28-1	m o ʃ k	1	false
UNRELATED_CONTROL	ARMENIAN	nucl1235	Indo-European	30	BLOOD	ARMENIAN-30-1	ɐ r j u n	1	false
UNRELATED_CONTROL	ARMENIAN	nucl1235	Indo-European	31	BONE	ARMENIAN-31-1	w o s k o r	1	false
UNRELATED_CONTROL	ARMENIAN	nucl1235	Indo-European	39	EAR	ARMENIAN-39-1	o k o ɲ dʒ	1	false
UNRELATED_CONTROL	ARMENIAN	nucl1235	Indo-European	40	EYE	ARMENIAN-40-1	o tʃʰ kʰ	1	false
UNRELATED_CONTROL	ARMENIAN	nucl1235	Indo-European	41	NOSE	ARMENIAN-41-1	kʰ i tʰ	1	false
UNRELATED_CONTROL	ARMENIAN	nucl1235	Indo-European	43	TOOTH	ARMENIAN-43-1	ɐ t ɐ m	1	false
UNRELATED_CONTROL	ARMENIAN	nucl1235	Indo-European	44	TONGUE	ARMENIAN-44-1	l a z u	1	false
UNRELATED_CONTROL	ARMENIAN	nucl1235	Indo-European	47	KNEE	ARMENIAN-47-1	ts u ŋ k	1	false
UNRELATED_CONTROL	ARMENIAN	nucl1235	Indo-European	48	HAND	ARMENIAN-48-1	ts a r kʰ	1	false
UNRELATED_CONTROL	ARMENIAN	nucl1235	Indo-European	51	BREAST	ARMENIAN-51-1	ts o tsʰ	1	false
UNRELATED_CONTROL	ARMENIAN	nucl1235	Indo-European	53	LIVER	ARMENIAN-53-1	l j o r tʰ	1	false
UNRELATED_CONTROL	ARMENIAN	nucl1235	Indo-European	54	DRINK	ARMENIAN-54-1	χ ə m a l	1	false
UNRELATED_CONTROL	ARMENIAN	nucl1235	Indo-European	57	SEE	ARMENIAN-57-1	t a s n a l	1	false
